types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentence,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Tarabya,Tarabya,76,95,0.9999999942318424,2.0927348894527437e-09,Ümit Besen (born 14 October 1956) is a Turkish musical artist representing the darker side of Tarabya school of electronic music.,0,0,
http://www.w3.org/2003/01/geo/wgs84_pos#SpatialThing,http://dbpedia.org/resource/Tarabya,Tarabya,76,95,0.9999999942318424,2.0927348894527437e-09,Ümit Besen (born 14 October 1956) is a Turkish musical artist representing the darker side of Tarabya school of electronic music.,0,0,
http://dbpedia.org/ontology/Settlement,http://dbpedia.org/resource/Tarabya,Tarabya,76,95,0.9999999942318424,2.0927348894527437e-09,Ümit Besen (born 14 October 1956) is a Turkish musical artist representing the darker side of Tarabya school of electronic music.,0,0,
http://dbpedia.org/class/yago/YagoGeoEntity,http://dbpedia.org/resource/Tarabya,Tarabya,76,95,0.9999999942318424,2.0927348894527437e-09,Ümit Besen (born 14 October 1956) is a Turkish musical artist representing the darker side of Tarabya school of electronic music.,0,0,
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Tarabya,Tarabya,76,95,0.9999999942318424,2.0927348894527437e-09,Ümit Besen (born 14 October 1956) is a Turkish musical artist representing the darker side of Tarabya school of electronic music.,0,0,
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Tarabya,Tarabya,76,95,0.9999999942318424,2.0927348894527437e-09,Ümit Besen (born 14 October 1956) is a Turkish musical artist representing the darker side of Tarabya school of electronic music.,0,0,
http://dbpedia.org/class/yago/Area108497294,http://dbpedia.org/resource/Tarabya,Tarabya,76,95,0.9999999942318424,2.0927348894527437e-09,Ümit Besen (born 14 October 1956) is a Turkish musical artist representing the darker side of Tarabya school of electronic music.,0,0,
http://dbpedia.org/class/yago/Location100027167,http://dbpedia.org/resource/Tarabya,Tarabya,76,95,0.9999999942318424,2.0927348894527437e-09,Ümit Besen (born 14 October 1956) is a Turkish musical artist representing the darker side of Tarabya school of electronic music.,0,0,
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Tarabya,Tarabya,76,95,0.9999999942318424,2.0927348894527437e-09,Ümit Besen (born 14 October 1956) is a Turkish musical artist representing the darker side of Tarabya school of electronic music.,0,0,
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Tarabya,Tarabya,76,95,0.9999999942318424,2.0927348894527437e-09,Ümit Besen (born 14 October 1956) is a Turkish musical artist representing the darker side of Tarabya school of electronic music.,0,0,
http://dbpedia.org/class/yago/Region108630985,http://dbpedia.org/resource/Tarabya,Tarabya,76,95,0.9999999942318424,2.0927348894527437e-09,Ümit Besen (born 14 October 1956) is a Turkish musical artist representing the darker side of Tarabya school of electronic music.,0,0,
http://dbpedia.org/class/yago/Section108648322,http://dbpedia.org/resource/Tarabya,Tarabya,76,95,0.9999999942318424,2.0927348894527437e-09,Ümit Besen (born 14 October 1956) is a Turkish musical artist representing the darker side of Tarabya school of electronic music.,0,0,
http://dbpedia.org/class/yago/Vicinity108641113,http://dbpedia.org/resource/Tarabya,Tarabya,76,95,0.9999999942318424,2.0927348894527437e-09,Ümit Besen (born 14 October 1956) is a Turkish musical artist representing the darker side of Tarabya school of electronic music.,0,0,
http://dbpedia.org/class/yago/WikicatNeighbourhoodsOfSarıyer,http://dbpedia.org/resource/Tarabya,Tarabya,76,95,0.9999999942318424,2.0927348894527437e-09,Ümit Besen (born 14 October 1956) is a Turkish musical artist representing the darker side of Tarabya school of electronic music.,0,0,
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Keyboard_instrument,keyboards,20051,46,0.9925001832944136,0.0060972127390375,"He started his professional career by playing keyboards and singing with his band at the local clubs in Adana, Southern Turkey.",1,0,
